"","Inf + 2x Vax","2x Vax","WT conv","3x Vax","2x Vax + Inf","Alpha conv","Beta conv","Delta conv","Gamma conv"
"WT",2296.94228922869,259.501781725363,444.391226153581,"1125.818315269",1017.43549156463,188.172274698022,47.8297012469848,47,79
"D614G",2181.33875241779,371.24514721571,370.212888664044,"2477.2085960194",3934.60199570016,305.84679133441,32.4674826116139,339.484775281677,31.3661647541852
"B.1.617.2",828.731712355715,120.47163135416,167.413039944372,"518.447586803091",638.085576338089,71.324386378392,20.3118736666088,1017.46407544431,13.5819266243086
"B.1.1.7",620.534374754946,308.153745221653,152.658069838577,"1271.48258076348",3735.85402202416,208.901642237149,32.2626859994849,102.701044422185,46.8453563619683
"B.1.351",468.123322827641,70.7118554127107,33.6924523359057,"448.506036618059",2801.48760173569,41.1491925087686,69.1085107643621,47.3446240527261,63.4659762109064
"P.1",148.23299010045,74.0338039075419,30.4430338110228,"*",2194.06551256781,23.7111871531122,7.89957020513114,16.431036551308,91.9150495212248
"B.1.1.529",177.903040091043,16.9518724135632,15.2571733229408,"188.969687775065",224.24868515357,6.88819870634196,4.07598508476809,25.7440199920597,10.3707015867243
